"area","name","lat","long","status","note"
"墨田区","21-1","35.7156742","139.8304274","0","東京都墨田区東墨田１-６-２ 新平井橋公園（平野石油㈱前）"
"墨田区","21-2","35.71927600000001","139.8303554","0","東京都墨田区東墨田２-７ 都営東墨田二丁目アパート植込地（中居堀通り側）"
"墨田区","21-3","35.7215766","139.8331339","0","東京都墨田区東墨田２-１５-１３ 旧木下川小学校跡地（東墨田２-１２向）"
"墨田区","21-4","35.7218766","139.8331339","0","東京都墨田区東墨田２-１５-１３ 旧木下川小学校跡地（東墨田２-１４向）"
"墨田区","21-5","35.7227379","139.831696","0","東京都墨田区東墨田２-１９-１３ 八広油脂前植込地（ゆりのき橋通り）"
"墨田区","21-6","35.71973190000001","139.8349529","0","東京都墨田区東墨田３-４-１４ 東墨田公園（東京佐川急便㈱跡地 ㈱丸萬商店前）"
"墨田区","21-7","35.7186007","139.8372054","0","東京都墨田区東墨田３-１９-６ 東墨田テニスコート"
"墨田区","22-1","35.7114009","139.816325","0","東京都墨田区押上１-３２-３先 三井のリパーク前植込地"
"墨田区","22-2","35.709588","139.817551","0","東京都墨田区押上１-４７-８ わんぱく天国（押上１-４８向）"
"墨田区","22-3","35.709288","139.817551","0","東京都墨田区押上１-４７-８ わんぱく天国（押上１-４６向）"
"墨田区","22-4","35.713427","139.8157855","0","東京都墨田区押上２-４３ 東武鉄道押上二丁目高架下"
"墨田区","22-5","35.7114494","139.8189547","0","東京都墨田区押上３-４６-１７ 押上小学校（正門脇）"
"墨田区","22-6","35.7117494","139.8189547","0","東京都墨田区押上３-４６-１７ 押上小学校（押上３-１６向）"
"墨田区","22-7","35.7116922","139.8200914","0","東京都墨田区押上３-４８-１ 押上第一児童遊園"
"墨田区","22-8","35.7118935","139.8213155","0","東京都墨田区押上３-５７-３ 押上第二児童遊園"
"墨田区","23-1","35.7100839","139.8242307","0","東京都墨田区文花１-１９-１２ あずま百樹園植込地"
"墨田区","23-2","35.7105454","139.82281","0","東京都墨田区文花１-２０-７ 文花子育てひろば"
"墨田区","23-3","35.710452","139.822364","0","東京都墨田区文花１-２２-７ 文花中学校（体育館裏）"
"墨田区","23-4","35.710152","139.822364","0","東京都墨田区文花１-２２-７ 文花中学校（プール裏）"
"墨田区","23-5","35.7085335","139.8199852","0","東京都墨田区文花１-２９ 都営文花一丁目団地（２号棟横）"
"墨田区","23-6","35.7076877","139.8224205","0","東京都墨田区文花１-３０ 都営文花一丁目団地（給水塔鉄柵）"
"墨田区","23-7","35.7088808","139.8242652","0","東京都墨田区文花１-３２-１１ 文花宮前橋公園"
"墨田区","23-8","35.7094756","139.8266927","0","東京都墨田区文花２-７-４ 宮元児童遊園植込地"
"墨田区","24-1","35.7130359","139.8221461","0","東京都墨田区京島２-２０-１７ 京島南公園"
"墨田区","24-2","35.7162907","139.8239759","0","東京都墨田区京島３-１７-３先 セントラルコート曳舟前植込地（明治通り）"
"墨田区","24-3","35.7130239","139.8233891","0","東京都墨田区京島３-４４-１４ 原公園"
"墨田区","24-4","35.7133247","139.8242117","0","東京都墨田区京島３-４５ 京島三丁目ぐるぐる広場"
"墨田区","24-5","35.7146156","139.8257133","0","東京都墨田区京島３-５５-４ 清水機械製作所前植込地（明治通り）"
"墨田区","24-6","35.7131442","139.8252887","0","東京都墨田区京島３-６４-９ 第四吾嬬小学校"
